sourceRow,sourceSku,sku,durationSeconds,format,formatLabel,sourceFormatLabel,screenPackage,screenLabel,fullDayHours,monthlyRateCents,rateAt80PercentCents,playsPer12HourDay,referencePlaysPer31OpenDays
6,LG-10-IMG-CTR-PRM,LG-10-IMG-CTR-FD,10,still-image,Still Image,Imagen estática,center,Center,12,450000,360000,720,22320
8,LG-10-IMG-LFT-PRM,LG-10-IMG-LFT-FD,10,still-image,Still Image,Imagen estática,left,Left,12,112500,90000,720,22320
10,LG-10-IMG-RGT-PRM,LG-10-IMG-RGT-FD,10,still-image,Still Image,Imagen estática,right,Right,12,112500,90000,720,22320
12,LG-10-IMG-LR-PRM,LG-10-IMG-LR-FD,10,still-image,Still Image,Imagen estática,left-right,Left + Right,12,202500,162000,720,22320
14,LG-10-IMG-ALL-PRM,LG-10-IMG-ALL-FD,10,still-image,Still Image,Imagen estática,all-3,All 3 Screens,12,585000,468000,720,22320
16,LG-10-VID-CTR-PRM,LG-10-VID-CTR-FD,10,silent-video,Silent Video,Video silencioso,center,Center,12,630000,504000,720,22320
18,LG-10-VID-LFT-PRM,LG-10-VID-LFT-FD,10,silent-video,Silent Video,Video silencioso,left,Left,12,157500,126000,720,22320
20,LG-10-VID-RGT-PRM,LG-10-VID-RGT-FD,10,silent-video,Silent Video,Video silencioso,right,Right,12,157500,126000,720,22320
22,LG-10-VID-LR-PRM,LG-10-VID-LR-FD,10,silent-video,Silent Video,Video silencioso,left-right,Left + Right,12,283500,226800,720,22320
24,LG-10-VID-ALL-PRM,LG-10-VID-ALL-FD,10,silent-video,Silent Video,Video silencioso,all-3,All 3 Screens,12,819000,655200,720,22320
26,LG-15-IMG-CTR-PRM,LG-15-IMG-CTR-FD,15,still-image,Still Image,Imagen estática,center,Center,12,675000,540000,480,14880
28,LG-15-IMG-LFT-PRM,LG-15-IMG-LFT-FD,15,still-image,Still Image,Imagen estática,left,Left,12,168800,135040,480,14880
30,LG-15-IMG-RGT-PRM,LG-15-IMG-RGT-FD,15,still-image,Still Image,Imagen estática,right,Right,12,168800,135040,480,14880
32,LG-15-IMG-LR-PRM,LG-15-IMG-LR-FD,15,still-image,Still Image,Imagen estática,left-right,Left + Right,12,303800,243040,480,14880
34,LG-15-IMG-ALL-PRM,LG-15-IMG-ALL-FD,15,still-image,Still Image,Imagen estática,all-3,All 3 Screens,12,877500,702000,480,14880
36,LG-15-VID-CTR-PRM,LG-15-VID-CTR-FD,15,silent-video,Silent Video,Video silencioso,center,Center,12,945000,756000,480,14880
38,LG-15-VID-LFT-PRM,LG-15-VID-LFT-FD,15,silent-video,Silent Video,Video silencioso,left,Left,12,236300,189040,480,14880
40,LG-15-VID-RGT-PRM,LG-15-VID-RGT-FD,15,silent-video,Silent Video,Video silencioso,right,Right,12,236300,189040,480,14880
42,LG-15-VID-LR-PRM,LG-15-VID-LR-FD,15,silent-video,Silent Video,Video silencioso,left-right,Left + Right,12,425300,340240,480,14880
44,LG-15-VID-ALL-PRM,LG-15-VID-ALL-FD,15,silent-video,Silent Video,Video silencioso,all-3,All 3 Screens,12,1228500,982800,480,14880
46,LG-30-IMG-CTR-PRM,LG-30-IMG-CTR-FD,30,still-image,Still Image,Imagen estática,center,Center,12,1350000,1080000,240,7440
48,LG-30-IMG-LFT-PRM,LG-30-IMG-LFT-FD,30,still-image,Still Image,Imagen estática,left,Left,12,337500,270000,240,7440
50,LG-30-IMG-RGT-PRM,LG-30-IMG-RGT-FD,30,still-image,Still Image,Imagen estática,right,Right,12,337500,270000,240,7440
